START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/26/14,12:10 PM,03:10 PM,D-backs,Salt River Fields at Talking Stick,"Local TV: SportsNet LA -- MLBN (delay) ----- Local Radio: 570 Fox Sports L.A.",02/26/14,02/26/14,03:10 PM,06:10 PM,FALSE,TRUE,02/26/14,11:10 AM,02:10 PM,FREE,BUSY
02/27/14,12:05 PM,03:05 PM,D-backs,Camelback Ranch,"Local TV: SportsNet LA ----- Local Radio: 570 Fox Sports L.A.",02/27/14,02/27/14,03:05 PM,06:05 PM,FALSE,TRUE,02/27/14,11:05 AM,02:05 PM,FREE,BUSY
02/28/14,12:05 PM,03:05 PM,White Sox,Camelback Ranch,"Local TV: SportsNet LA -- MLBN (delay) ----- Local Radio: 570 Fox Sports L.A.",02/28/14,02/28/14,03:05 PM,06:05 PM,FALSE,TRUE,02/28/14,11:05 AM,02:05 PM,FREE,BUSY
03/01/14,12:05 PM,03:05 PM,Brewers,Maryvale Baseball Park,"Local TV: SportsNet LA ----- Local Radio: 570 Fox Sports L.A.",03/01/14,03/01/14,03:05 PM,06:05 PM,FALSE,TRUE,03/01/14,11:05 AM,02:05 PM,FREE,BUSY
03/02/14,12:05 PM,03:05 PM,Padres,Camelback Ranch,"Local TV: SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",03/02/14,03/02/14,03:05 PM,06:05 PM,FALSE,TRUE,03/02/14,11:05 AM,02:05 PM,FREE,BUSY
03/03/14,12:05 PM,03:05 PM,Athletics,Phoenix Municipal Stadium,"Local TV: MLBN (delay) -- SportsNet LA",03/03/14,03/03/14,03:05 PM,06:05 PM,FALSE,TRUE,03/03/14,11:05 AM,02:05 PM,FREE,BUSY
03/04/14,12:05 PM,03:05 PM,Mariners,Camelback Ranch,"Local TV: SportsNet LA -- MLBN (delay)",03/04/14,03/04/14,03:05 PM,06:05 PM,FALSE,TRUE,03/04/14,11:05 AM,02:05 PM,FREE,BUSY
03/05/14,06:05 PM,09:05 PM,Reds,Goodyear Ballpark,"Local TV: SportsNet LA -- MLBN ----- Local Radio: 570 Fox Sports L.A.",03/05/14,03/06/14,09:05 PM,12:05 AM,FALSE,TRUE,03/05/14,05:05 PM,08:05 PM,FREE,BUSY
03/06/14,12:05 PM,03:05 PM,Angels,Tempe Diablo Stadium,"Local TV: SportsNet LA -- MLBN (delay) ----- Local Radio: 570 Fox Sports L.A.",03/06/14,03/06/14,03:05 PM,06:05 PM,FALSE,TRUE,03/06/14,11:05 AM,02:05 PM,FREE,BUSY
03/07/14,12:05 PM,03:05 PM,Rangers,Camelback Ranch,"Local TV: SportsNet LA -- MLBN (delay) ----- Local Radio: 570 Fox Sports L.A.",03/07/14,03/07/14,03:05 PM,06:05 PM,FALSE,TRUE,03/07/14,11:05 AM,02:05 PM,FREE,BUSY
