START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/26/14,01:05 PM,01:05 PM,Blue Jays,Bright House Field,"Local TV: CSN -- MLBN ----- Local Radio: 94 WIP -- 1210 WPHT",02/26/14,02/26/14,04:05 PM,04:05 PM,FALSE,TRUE,02/26/14,12:05 PM,12:05 PM,FREE,BUSY
02/27/14,01:05 PM,01:05 PM,Blue Jays,Florida Auto Exchange Stadium,"Local TV: MLBN",02/27/14,02/27/14,04:05 PM,04:05 PM,FALSE,TRUE,02/27/14,12:05 PM,12:05 PM,FREE,BUSY
02/28/14,01:05 PM,01:05 PM,Tigers,Bright House Field,"Local TV: TCN",02/28/14,02/28/14,04:05 PM,04:05 PM,FALSE,TRUE,02/28/14,12:05 PM,12:05 PM,FREE,BUSY
03/01/14,01:05 PM,01:05 PM,Yankees,George M. Steinbrenner Field,"Local TV: MLBN ----- Local Radio: 94 WIP -- 1210 WPHT",03/01/14,03/01/14,04:05 PM,04:05 PM,FALSE,TRUE,03/01/14,12:05 PM,12:05 PM,FREE,BUSY
03/02/14,01:05 PM,01:05 PM,Pirates,Bright House Field,"Local TV: CSN ----- Local Radio: 94 WIP -- 1210 WPHT",03/02/14,03/02/14,04:05 PM,04:05 PM,FALSE,TRUE,03/02/14,12:05 PM,12:05 PM,FREE,BUSY
03/03/14,01:05 PM,01:05 PM,Rays,Charlotte Sports Park,,03/03/14,03/03/14,04:05 PM,04:05 PM,FALSE,TRUE,03/03/14,12:05 PM,12:05 PM,FREE,BUSY
03/04/14,06:35 PM,06:35 PM,Blue Jays,Bright House Field,"Local TV: TCN ----- Local Radio: 94 WIP -- 1210 WPHT",03/04/14,03/04/14,09:35 PM,09:35 PM,FALSE,TRUE,03/04/14,05:35 PM,05:35 PM,FREE,BUSY
03/05/14,01:05 PM,01:05 PM,Braves,Bright House Field,"Local TV: TCN -- MLBN",03/05/14,03/05/14,04:05 PM,04:05 PM,FALSE,TRUE,03/05/14,12:05 PM,12:05 PM,FREE,BUSY
03/06/14,01:05 PM,01:05 PM,Yankees,Bright House Field,"Local TV: TCN -- MLBN",03/06/14,03/06/14,04:05 PM,04:05 PM,FALSE,TRUE,03/06/14,12:05 PM,12:05 PM,FREE,BUSY
03/06/14,01:05 PM,01:05 PM,Tigers,Joker Marchant Stadium,,03/06/14,03/06/14,04:05 PM,04:05 PM,FALSE,TRUE,03/06/14,12:05 PM,12:05 PM,FREE,BUSY
03/07/14,01:05 PM,01:05 PM,Orioles,Ed Smith Stadium,,03/07/14,03/07/14,04:05 PM,04:05 PM,FALSE,TRUE,03/07/14,12:05 PM,12:05 PM,FREE,BUSY
03/08/14,01:05 PM,01:05 PM,Astros,Bright House Field,"Local TV: TCN ----- Local Radio: 94 WIP -- 1210 WPHT",03/08/14,03/08/14,04:05 PM,04:05 PM,FALSE,TRUE,03/08/14,12:05 PM,12:05 PM,FREE,BUSY
03/09/14,01:05 PM,01:05 PM,Twins,Hammond Stadium,"Local Radio: 94 WIP -- 1210 WPHT",03/09/14,03/09/14,04:05 PM,04:05 PM,FALSE,TRUE,03/09/14,12:05 PM,12:05 PM,FREE,BUSY
03/10/14,01:05 PM,01:05 PM,Braves,Bright House Field,"Local TV: MLBN (delay) -- CSN",03/10/14,03/10/14,04:05 PM,04:05 PM,FALSE,TRUE,03/10/14,12:05 PM,12:05 PM,FREE,BUSY
03/11/14,01:05 PM,01:05 PM,Braves,Champion Stadium,"Local Radio: MLB.com",03/11/14,03/11/14,04:05 PM,04:05 PM,FALSE,TRUE,03/11/14,12:05 PM,12:05 PM,FREE,BUSY
03/12/14,01:05 PM,01:05 PM,Orioles,Ed Smith Stadium,"Local Radio: MLB.com",03/12/14,03/12/14,04:05 PM,04:05 PM,FALSE,TRUE,03/12/14,12:05 PM,12:05 PM,FREE,BUSY
03/13/14,01:05 PM,01:05 PM,Yankees,Bright House Field,"Local TV: TCN",03/13/14,03/13/14,04:05 PM,04:05 PM,FALSE,TRUE,03/13/14,12:05 PM,12:05 PM,FREE,BUSY
03/14/14,01:05 PM,01:05 PM,Pirates,McKechnie Field,"Local Radio: MLB.com",03/14/14,03/14/14,04:05 PM,04:05 PM,FALSE,TRUE,03/14/14,12:05 PM,12:05 PM,FREE,BUSY
03/15/14,07:05 PM,07:05 PM,Red Sox,JetBlue Park,"Local TV: MLBN ----- Local Radio: 94 WIP -- 1210 WPHT",03/15/14,03/15/14,10:05 PM,10:05 PM,FALSE,TRUE,03/15/14,06:05 PM,06:05 PM,FREE,BUSY
03/16/14,01:05 PM,01:05 PM,Pirates,Bright House Field,"Local TV: MLBN -- CSN ----- Local Radio: 94 WIP -- 1210 WPHT",03/16/14,03/16/14,04:05 PM,04:05 PM,FALSE,TRUE,03/16/14,12:05 PM,12:05 PM,FREE,BUSY
03/17/14,01:05 PM,01:05 PM,Orioles,Bright House Field,"Local TV: TCN",03/17/14,03/17/14,04:05 PM,04:05 PM,FALSE,TRUE,03/17/14,12:05 PM,12:05 PM,FREE,BUSY
03/19/14,01:05 PM,01:05 PM,Blue Jays,Florida Auto Exchange Stadium,"Local Radio: MLB.com",03/19/14,03/19/14,04:05 PM,04:05 PM,FALSE,TRUE,03/19/14,12:05 PM,12:05 PM,FREE,BUSY
03/20/14,01:05 PM,01:05 PM,Astros,Osceola County Stadium,,03/20/14,03/20/14,04:05 PM,04:05 PM,FALSE,TRUE,03/20/14,12:05 PM,12:05 PM,FREE,BUSY
03/20/14,01:05 PM,01:05 PM,Blue Jays,Bright House Field,"Local TV: TCN",03/20/14,03/20/14,04:05 PM,04:05 PM,FALSE,TRUE,03/20/14,12:05 PM,12:05 PM,FREE,BUSY
03/21/14,01:05 PM,01:05 PM,Red Sox,Bright House Field,"Local TV: MLBN -- TCN",03/21/14,03/21/14,04:05 PM,04:05 PM,FALSE,TRUE,03/21/14,12:05 PM,12:05 PM,FREE,BUSY
