START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/27/14,01:05 PM,01:05 PM,Huskies,JetBlue Park,"Local Radio: WEEI 850",02/27/14,02/27/14,04:05 PM,04:05 PM,FALSE,TRUE,02/27/14,12:05 PM,12:05 PM,FREE,BUSY
02/27/14,03:33 AM,03:33 AM,Eagles,JetBlue Park,"Local Radio: WEEI 850",02/27/14,02/27/14,06:33 AM,06:33 AM,FALSE,TRUE,02/27/14,02:33 AM,02:33 AM,FREE,BUSY
02/28/14,01:05 PM,01:05 PM,Twins,JetBlue Park,,02/28/14,02/28/14,04:05 PM,04:05 PM,FALSE,TRUE,02/28/14,12:05 PM,12:05 PM,FREE,BUSY
03/01/14,01:05 PM,01:05 PM,Twins,Hammond Stadium,"Local TV: MLBN (delay) ----- Local Radio: WEEI 93.7",03/01/14,03/01/14,04:05 PM,04:05 PM,FALSE,TRUE,03/01/14,12:05 PM,12:05 PM,FREE,BUSY
03/02/14,01:05 PM,01:05 PM,Orioles,JetBlue Park,"Local TV: MLBN -- NESN ----- Local Radio: WEEI 93.7",03/02/14,03/02/14,04:05 PM,04:05 PM,FALSE,TRUE,03/02/14,12:05 PM,12:05 PM,FREE,BUSY
03/03/14,01:05 PM,01:05 PM,Pirates,McKechnie Field,,03/03/14,03/03/14,04:05 PM,04:05 PM,FALSE,TRUE,03/03/14,12:05 PM,12:05 PM,FREE,BUSY
03/04/14,01:05 PM,01:05 PM,Rays,JetBlue Park,,03/04/14,03/04/14,04:05 PM,04:05 PM,FALSE,TRUE,03/04/14,12:05 PM,12:05 PM,FREE,BUSY
03/05/14,01:05 PM,01:05 PM,Cardinals,Roger Dean Stadium,,03/05/14,03/05/14,04:05 PM,04:05 PM,FALSE,TRUE,03/05/14,12:05 PM,12:05 PM,FREE,BUSY
03/06/14,01:05 PM,01:05 PM,Marlins,Roger Dean Stadium,,03/06/14,03/06/14,04:05 PM,04:05 PM,FALSE,TRUE,03/06/14,12:05 PM,12:05 PM,FREE,BUSY
03/07/14,01:05 PM,01:05 PM,Braves,JetBlue Park,,03/07/14,03/07/14,04:05 PM,04:05 PM,FALSE,TRUE,03/07/14,12:05 PM,12:05 PM,FREE,BUSY
03/08/14,01:05 PM,01:05 PM,Orioles,Ed Smith Stadium,"Local TV: NESN",03/08/14,03/08/14,04:05 PM,04:05 PM,FALSE,TRUE,03/08/14,12:05 PM,12:05 PM,FREE,BUSY
03/08/14,07:05 PM,07:05 PM,Orioles,JetBlue Park,"Local Radio: WEEI 93.7",03/08/14,03/08/14,10:05 PM,10:05 PM,FALSE,TRUE,03/08/14,06:05 PM,06:05 PM,FREE,BUSY
03/09/14,01:05 PM,01:05 PM,Pirates,McKechnie Field,"Local TV: NESN ----- Local Radio: WEEI 93.7",03/09/14,03/09/14,04:05 PM,04:05 PM,FALSE,TRUE,03/09/14,12:05 PM,12:05 PM,FREE,BUSY
03/10/14,01:05 PM,01:05 PM,Rays,JetBlue Park,"Local TV: MLBN -- NESN",03/10/14,03/10/14,04:05 PM,04:05 PM,FALSE,TRUE,03/10/14,12:05 PM,12:05 PM,FREE,BUSY
03/11/14,01:05 PM,01:05 PM,Marlins,JetBlue Park,,03/11/14,03/11/14,04:05 PM,04:05 PM,FALSE,TRUE,03/11/14,12:05 PM,12:05 PM,FREE,BUSY
03/11/14,01:05 PM,01:05 PM,Orioles,Ed Smith Stadium,,03/11/14,03/11/14,04:05 PM,04:05 PM,FALSE,TRUE,03/11/14,12:05 PM,12:05 PM,FREE,BUSY
03/13/14,01:05 PM,01:05 PM,Twins,Hammond Stadium,"Local TV: MLBN",03/13/14,03/13/14,04:05 PM,04:05 PM,FALSE,TRUE,03/13/14,12:05 PM,12:05 PM,FREE,BUSY
03/14/14,01:05 PM,01:05 PM,Blue Jays,Florida Auto Exchange Stadium,,03/14/14,03/14/14,04:05 PM,04:05 PM,FALSE,TRUE,03/14/14,12:05 PM,12:05 PM,FREE,BUSY
03/15/14,07:05 PM,07:05 PM,Phillies,JetBlue Park,"Local TV: NESN -- MLBN ----- Local Radio: WEEI 93.7",03/15/14,03/15/14,10:05 PM,10:05 PM,FALSE,TRUE,03/15/14,06:05 PM,06:05 PM,FREE,BUSY
03/16/14,01:05 PM,01:05 PM,Rays,Charlotte Sports Park,"Local TV: NESN ----- Local Radio: WEEI 93.7",03/16/14,03/16/14,04:05 PM,04:05 PM,FALSE,TRUE,03/16/14,12:05 PM,12:05 PM,FREE,BUSY
03/17/14,01:05 PM,01:05 PM,Cardinals,JetBlue Park,"Local TV: ESPN ----- Local Radio: WEEI 850",03/17/14,03/17/14,04:05 PM,04:05 PM,FALSE,TRUE,03/17/14,12:05 PM,12:05 PM,FREE,BUSY
03/18/14,01:05 PM,01:05 PM,Yankees,George M. Steinbrenner Field,"Local TV: ESPN ----- Local Radio: WEEI 850",03/18/14,03/18/14,04:05 PM,04:05 PM,FALSE,TRUE,03/18/14,12:05 PM,12:05 PM,FREE,BUSY
03/19/14,07:05 PM,07:05 PM,Pirates,JetBlue Park,"Local TV: NESN ----- Local Radio: WEEI 93.7",03/19/14,03/19/14,10:05 PM,10:05 PM,FALSE,TRUE,03/19/14,06:05 PM,06:05 PM,FREE,BUSY
03/20/14,07:05 PM,07:05 PM,Yankees,JetBlue Park,"Local TV: ESPN -- NESN ----- Local Radio: WEEI 93.7",03/20/14,03/20/14,10:05 PM,10:05 PM,FALSE,TRUE,03/20/14,06:05 PM,06:05 PM,FREE,BUSY
03/21/14,01:05 PM,01:05 PM,Phillies,Bright House Field,"Local TV: MLBN",03/21/14,03/21/14,04:05 PM,04:05 PM,FALSE,TRUE,03/21/14,12:05 PM,12:05 PM,FREE,BUSY
03/22/14,01:05 PM,01:05 PM,Braves,Champion Stadium,"Local TV: NESN ----- Local Radio: WEEI 93.7",03/22/14,03/22/14,04:05 PM,04:05 PM,FALSE,TRUE,03/22/14,12:05 PM,12:05 PM,FREE,BUSY
03/23/14,01:05 PM,01:05 PM,Rays,JetBlue Park,"Local TV: NESN -- MLBN (delay) ----- Local Radio: WEEI 93.7",03/23/14,03/23/14,04:05 PM,04:05 PM,FALSE,TRUE,03/23/14,12:05 PM,12:05 PM,FREE,BUSY
03/24/14,01:05 PM,01:05 PM,Orioles,Ed Smith Stadium,"Local TV: MLBN (delay)",03/24/14,03/24/14,04:05 PM,04:05 PM,FALSE,TRUE,03/24/14,12:05 PM,12:05 PM,FREE,BUSY
03/25/14,01:05 PM,01:05 PM,Rays,Charlotte Sports Park,"Local TV: NESN",03/25/14,03/25/14,04:05 PM,04:05 PM,FALSE,TRUE,03/25/14,12:05 PM,12:05 PM,FREE,BUSY
03/26/14,01:05 PM,01:05 PM,Orioles,JetBlue Park,,03/26/14,03/26/14,04:05 PM,04:05 PM,FALSE,TRUE,03/26/14,12:05 PM,12:05 PM,FREE,BUSY
03/27/14,07:05 PM,07:05 PM,Twins,JetBlue Park,"Local Radio: WEEI 93.7",03/27/14,03/27/14,10:05 PM,10:05 PM,FALSE,TRUE,03/27/14,06:05 PM,06:05 PM,FREE,BUSY
03/28/14,01:05 PM,01:05 PM,Twins,Hammond Stadium,"Local TV: MLBN -- NESN",03/28/14,03/28/14,04:05 PM,04:05 PM,FALSE,TRUE,03/28/14,12:05 PM,12:05 PM,FREE,BUSY
03/29/14,01:05 PM,01:05 PM,Twins,JetBlue Park,"Local Radio: WEEI 93.7",03/29/14,03/29/14,04:05 PM,04:05 PM,FALSE,TRUE,03/29/14,12:05 PM,12:05 PM,FREE,BUSY
03/31/14,03:05 PM,03:05 PM,Orioles,Oriole Park at Camden Yards,"Local TV: ESPN2 -- NESN ----- Local Radio: WEEI 93.7 -- SBN 1150 -- WCEC 1490 AM",03/31/14,03/31/14,06:05 PM,06:05 PM,FALSE,TRUE,03/31/14,02:05 PM,02:05 PM,FREE,BUSY
04/02/14,07:05 PM,07:05 PM,Orioles,Oriole Park at Camden Yards,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- WCEC 1490 AM",04/02/14,04/02/14,10:05 PM,10:05 PM,FALSE,TRUE,04/02/14,06:05 PM,06:05 PM,FREE,BUSY
04/03/14,07:05 PM,07:05 PM,Orioles,Oriole Park at Camden Yards,"Local TV: NESN -- MLBN ----- Local Radio: WEEI 93.7 -- WCEC 1490 AM",04/03/14,04/03/14,10:05 PM,10:05 PM,FALSE,TRUE,04/03/14,06:05 PM,06:05 PM,FREE,BUSY
04/04/14,02:05 PM,02:05 PM,Brewers,Fenway Park,"Local TV: NESN -- MLBN ----- Local Radio: WEEI 93.7 -- SBN 1150",04/04/14,04/04/14,05:05 PM,05:05 PM,FALSE,TRUE,04/04/14,01:05 PM,01:05 PM,FREE,BUSY
04/05/14,07:10 PM,07:10 PM,Brewers,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- WCEC 1490 AM",04/05/14,04/05/14,10:10 PM,10:10 PM,FALSE,TRUE,04/05/14,06:10 PM,06:10 PM,FREE,BUSY
04/06/14,01:35 PM,01:35 PM,Brewers,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- WCEC 1490 AM",04/06/14,04/06/14,04:35 PM,04:35 PM,FALSE,TRUE,04/06/14,12:35 PM,12:35 PM,FREE,BUSY
04/07/14,07:10 PM,07:10 PM,Rangers,Fenway Park,"Local TV: NESN -- ESPN ----- Local Radio: WEEI 93.7 -- WCEC 1490 AM",04/07/14,04/07/14,10:10 PM,10:10 PM,FALSE,TRUE,04/07/14,06:10 PM,06:10 PM,FREE,BUSY
04/08/14,06:10 PM,06:10 PM,Rangers,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- WCEC 1490 AM",04/08/14,04/08/14,09:10 PM,09:10 PM,FALSE,TRUE,04/08/14,05:10 PM,05:10 PM,FREE,BUSY
04/09/14,04:05 PM,04:05 PM,Rangers,Fenway Park,"Local TV: MLBN -- NESN ----- Local Radio: WEEI 93.7 -- WCEC 1490 AM",04/09/14,04/09/14,07:05 PM,07:05 PM,FALSE,TRUE,04/09/14,03:05 PM,03:05 PM,FREE,BUSY
04/10/14,07:05 PM,07:05 PM,Yankees,Yankee Stadium,"Local TV: MLBN -- NESN ----- Local Radio: WEEI 93.7 -- WCEC 1490 AM",04/10/14,04/10/14,10:05 PM,10:05 PM,FALSE,TRUE,04/10/14,06:05 PM,06:05 PM,FREE,BUSY
04/11/14,07:05 PM,07:05 PM,Yankees,Yankee Stadium,"Local TV: MLBN -- NESN ----- Local Radio: WEEI 93.7 -- WCEC 1490 AM",04/11/14,04/11/14,10:05 PM,10:05 PM,FALSE,TRUE,04/11/14,06:05 PM,06:05 PM,FREE,BUSY
04/12/14,01:05 PM,01:05 PM,Yankees,Yankee Stadium,"Local TV: NESN -- FS1 ----- Local Radio: WEEI 93.7 -- WCCM 1110 AM",04/12/14,04/12/14,04:05 PM,04:05 PM,FALSE,TRUE,04/12/14,12:05 PM,12:05 PM,FREE,BUSY
04/13/14,08:05 PM,08:05 PM,Yankees,Yankee Stadium,"Local TV: ESPN ----- Local Radio: WEEI 93.7 -- SBN 1150",04/13/14,04/13/14,11:05 PM,11:05 PM,FALSE,TRUE,04/13/14,07:05 PM,07:05 PM,FREE,BUSY
04/15/14,08:10 PM,08:10 PM,White Sox,U.S. Cellular Field,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- WCEC 1490 AM",04/15/14,04/15/14,11:10 PM,11:10 PM,FALSE,TRUE,04/15/14,07:10 PM,07:10 PM,FREE,BUSY
