START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,AT_HOME,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
2/26/2014,12:05:00,15:05:00,Athletics,Scottsdale Stadium,FALSE,Local Radio: KNBR 680,2/26/2014,2/26/2014,15:05:00,18:05:00
2/28/2014,12:05:00,15:05:00,Brewers,Scottsdale Stadium,FALSE,Local Radio: KNBR 680,2/28/2014,2/28/2014,15:05:00,18:05:00
2/28/2014,12:05:00,15:05:00,Athletics,Phoenix Municipal Stadium,FALSE,,2/28/2014,2/28/2014,15:05:00,18:05:00
3/1/2014,12:05:00,15:05:00,Cubs,Cubs Park,FALSE,Local Radio: KNBR 680,3/1/2014,3/1/2014,15:05:00,18:05:00
3/2/2014,12:05:00,15:05:00,D-backs,Scottsdale Stadium,FALSE,Local Radio: KNBR 680,3/2/2014,3/2/2014,15:05:00,18:05:00
3/3/2014,12:05:00,15:05:00,Padres,Scottsdale Stadium,FALSE,Local Radio: MLB.com,3/3/2014,3/3/2014,15:05:00,18:05:00
3/4/2014,12:10:00,15:10:00,Rockies,Salt River Fields at Talking Stick,FALSE,Local Radio: MLB.com,3/4/2014,3/4/2014,15:10:00,18:10:00
3/5/2014,12:05:00,15:05:00,Angels,Scottsdale Stadium,FALSE,Local Radio: MLB.com,3/5/2014,3/5/2014,15:05:00,18:05:00
3/6/2014,12:05:00,15:05:00,Reds,Scottsdale Stadium,FALSE,Local Radio: MLB.com,3/6/2014,3/6/2014,15:05:00,18:05:00
3/7/2014,12:05:00,15:05:00,Royals,Surprise Stadium,FALSE,Local Radio: MLB.com,3/7/2014,3/7/2014,15:05:00,18:05:00
3/8/2014,12:05:00,15:05:00,Mariners,Scottsdale Stadium,FALSE,Local TV: CSN-BA ----- Local Radio: KNBR 680,3/8/2014,3/8/2014,15:05:00,18:05:00
3/9/2014,13:05:00,16:05:00,Dodgers,Camelback Ranch,FALSE,Local Radio: KNBR 680,3/9/2014,3/9/2014,16:05:00,19:05:00
3/9/2014,13:05:00,16:05:00,Giants Futures,Scottsdale Stadium,FALSE,,3/9/2014,3/9/2014,16:05:00,19:05:00
3/10/2014,13:05:00,16:05:00,Cubs,Scottsdale Stadium,FALSE,Local Radio: MLB.com,3/10/2014,3/10/2014,16:05:00,19:05:00
3/11/2014,13:05:00,16:05:00,Reds,Goodyear Ballpark,FALSE,Local Radio: MLB.com,3/11/2014,3/11/2014,16:05:00,19:05:00
