START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/25/14,01:05 PM,01:05 PM,Seminoles,George M. Steinbrenner Field,,02/25/14,02/25/14,04:05 PM,04:05 PM,FALSE,TRUE,02/25/14,12:05 PM,12:05 PM,FREE,BUSY
02/26/14,01:05 PM,01:05 PM,Pirates,McKechnie Field,,02/26/14,02/26/14,04:05 PM,04:05 PM,FALSE,TRUE,02/26/14,12:05 PM,12:05 PM,FREE,BUSY
02/27/14,01:05 PM,01:05 PM,Pirates,George M. Steinbrenner Field,"Local TV: MLBN (delay) -- YES ----- Local Radio: WFAN 660/101.9 FM",02/27/14,02/27/14,04:05 PM,04:05 PM,FALSE,TRUE,02/27/14,12:05 PM,12:05 PM,FREE,BUSY
02/28/14,01:05 PM,01:05 PM,Tigers,Joker Marchant Stadium,,02/28/14,02/28/14,04:05 PM,04:05 PM,FALSE,TRUE,02/28/14,12:05 PM,12:05 PM,FREE,BUSY
03/01/14,01:05 PM,01:05 PM,Phillies,George M. Steinbrenner Field,"Local TV: MLBN -- YES",03/01/14,03/01/14,04:05 PM,04:05 PM,FALSE,TRUE,03/01/14,12:05 PM,12:05 PM,FREE,BUSY
03/02/14,01:05 PM,01:05 PM,Blue Jays,Florida Auto Exchange Stadium,"Local TV: MLBN (delay)",03/02/14,03/02/14,04:05 PM,04:05 PM,FALSE,TRUE,03/02/14,12:05 PM,12:05 PM,FREE,BUSY
03/03/14,01:05 PM,01:05 PM,Nationals,George M. Steinbrenner Field,"Local TV: MLBN -- YES",03/03/14,03/03/14,04:05 PM,04:05 PM,FALSE,TRUE,03/03/14,12:05 PM,12:05 PM,FREE,BUSY
03/04/14,07:05 PM,07:05 PM,Orioles,George M. Steinbrenner Field,"Local TV: MLBN -- YES",03/04/14,03/04/14,10:05 PM,10:05 PM,FALSE,TRUE,03/04/14,06:05 PM,06:05 PM,FREE,BUSY
03/05/14,01:05 PM,01:05 PM,Rays,Charlotte Sports Park,,03/05/14,03/05/14,04:05 PM,04:05 PM,FALSE,TRUE,03/05/14,12:05 PM,12:05 PM,FREE,BUSY
03/06/14,01:05 PM,01:05 PM,Phillies,Bright House Field,"Local TV: MLBN",03/06/14,03/06/14,04:05 PM,04:05 PM,FALSE,TRUE,03/06/14,12:05 PM,12:05 PM,FREE,BUSY
03/07/14,07:05 PM,07:05 PM,Tigers,George M. Steinbrenner Field,,03/07/14,03/07/14,10:05 PM,10:05 PM,FALSE,TRUE,03/07/14,06:05 PM,06:05 PM,FREE,BUSY
03/08/14,01:05 PM,01:05 PM,Astros,Osceola County Stadium,"Local TV: MLBN ----- Local Radio: WFAN 660/101.9 FM",03/08/14,03/08/14,04:05 PM,04:05 PM,FALSE,TRUE,03/08/14,12:05 PM,12:05 PM,FREE,BUSY
03/09/14,01:05 PM,01:05 PM,Rays,George M. Steinbrenner Field,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM",03/09/14,03/09/14,04:05 PM,04:05 PM,FALSE,TRUE,03/09/14,12:05 PM,12:05 PM,FREE,BUSY
03/11/14,01:05 PM,01:05 PM,Nationals,Space Coast Stadium,"Local TV: MLBN (delay)",03/11/14,03/11/14,04:05 PM,04:05 PM,FALSE,TRUE,03/11/14,12:05 PM,12:05 PM,FREE,BUSY
03/12/14,01:05 PM,01:05 PM,Tigers,George M. Steinbrenner Field,"Local TV: YES -- MLBN",03/12/14,03/12/14,04:05 PM,04:05 PM,FALSE,TRUE,03/12/14,12:05 PM,12:05 PM,FREE,BUSY
03/13/14,01:05 PM,01:05 PM,Phillies,Bright House Field,,03/13/14,03/13/14,04:05 PM,04:05 PM,FALSE,TRUE,03/13/14,12:05 PM,12:05 PM,FREE,BUSY
03/13/14,01:05 PM,01:05 PM,Orioles,George M. Steinbrenner Field,"Local TV: YES",03/13/14,03/13/14,04:05 PM,04:05 PM,FALSE,TRUE,03/13/14,12:05 PM,12:05 PM,FREE,BUSY
03/14/14,01:05 PM,01:05 PM,Twins,George M. Steinbrenner Field,"Local TV: YES",03/14/14,03/14/14,04:05 PM,04:05 PM,FALSE,TRUE,03/14/14,12:05 PM,12:05 PM,FREE,BUSY
03/15/14,01:05 PM,01:05 PM,Orioles,Ed Smith Stadium,"Local TV: MLBN ----- Local Radio: WFAN 660/101.9 FM",03/15/14,03/15/14,04:05 PM,04:05 PM,FALSE,TRUE,03/15/14,12:05 PM,12:05 PM,FREE,BUSY
03/15/14,09:05 PM,09:05 PM,Marlins,Rod Carew Stadium,,03/16/14,03/16/14,12:05 AM,12:05 AM,FALSE,TRUE,03/15/14,08:05 PM,08:05 PM,FREE,BUSY
03/16/14,02:05 PM,02:05 PM,Marlins,Rod Carew Stadium,,03/16/14,03/16/14,05:05 PM,05:05 PM,FALSE,TRUE,03/16/14,01:05 PM,01:05 PM,FREE,BUSY
