START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
3/5/2015,12:05 PM,1:05 PM,Marlins,Roger Dean Stadium,3/5/2015,3/5/2015,3:05 PM,4:05 PM
3/6/2015,12:05 PM,1:05 PM,Astros,Roger Dean Stadium,3/6/2015,3/6/2015,3:05 PM,4:05 PM
3/7/2015,12:05 PM,1:05 PM,Nationals,Space Coast Stadium,3/7/2015,3/7/2015,3:05 PM,4:05 PM
3/8/2015,12:05 PM,1:05 PM,Marlins,Roger Dean Stadium,3/8/2015,3/8/2015,3:05 PM,4:05 PM
3/9/2015,12:05 PM,1:05 PM,Red Sox,Roger Dean Stadium,3/9/2015,3/9/2015,3:05 PM,4:05 PM
3/10/2015,12:05 PM,1:05 PM,Astros,Osceola County Stadium,3/10/2015,3/10/2015,3:05 PM,4:05 PM
3/11/2015,12:05 PM,1:05 PM,Braves,Champion Stadium,3/11/2015,3/11/2015,3:05 PM,4:05 PM
3/12/2015,12:05 PM,1:05 PM,Orioles,Roger Dean Stadium,3/12/2015,3/12/2015,3:05 PM,4:05 PM
3/13/2015,12:05 PM,1:05 PM,Marlins,Roger Dean Stadium,3/13/2015,3/13/2015,3:05 PM,4:05 PM
3/14/2015,12:05 PM,1:05 PM,Twins,Roger Dean Stadium,3/14/2015,3/14/2015,3:05 PM,4:05 PM
3/15/2015,12:05 PM,1:05 PM,Twins,CenturyLink Sports Complex,3/15/2015,3/15/2015,3:05 PM,4:05 PM
3/16/2015,12:05 PM,1:05 PM,Tigers,Roger Dean Stadium,3/16/2015,3/16/2015,3:05 PM,4:05 PM
3/17/2015,12:05 PM,1:05 PM,Marlins,Roger Dean Stadium,3/17/2015,3/17/2015,3:05 PM,4:05 PM
3/19/2015,12:05 PM,1:05 PM,Mets,Roger Dean Stadium,3/19/2015,3/19/2015,3:05 PM,4:05 PM
3/20/2015,12:10 PM,1:10 PM,Mets,Tradition Field,3/20/2015,3/20/2015,3:10 PM,4:10 PM
3/21/2015,12:05 PM,1:05 PM,Braves,Roger Dean Stadium,3/21/2015,3/21/2015,3:05 PM,4:05 PM
3/22/2015,12:05 PM,1:05 PM,Orioles,Ed Smith Stadium,3/22/2015,3/22/2015,3:05 PM,4:05 PM
3/23/2015,12:05 PM,1:05 PM,Red Sox,JetBlue Park,3/23/2015,3/23/2015,3:05 PM,4:05 PM
3/25/2015,12:05 PM,1:05 PM,Nationals,Roger Dean Stadium,3/25/2015,3/25/2015,3:05 PM,4:05 PM
3/26/2015,12:05 PM,1:05 PM,Marlins,Roger Dean Stadium,3/26/2015,3/26/2015,3:05 PM,4:05 PM
3/27/2015,12:05 PM,1:05 PM,Nationals,Space Coast Stadium,3/27/2015,3/27/2015,3:05 PM,4:05 PM
3/27/2015,12:05 PM,1:05 PM,Mets,Roger Dean Stadium,3/27/2015,3/27/2015,3:05 PM,4:05 PM
3/28/2015,12:05 PM,1:05 PM,Tigers,Joker Marchant Stadium,3/28/2015,3/28/2015,3:05 PM,4:05 PM
3/29/2015,12:05 PM,1:05 PM,Mets,Roger Dean Stadium,3/29/2015,3/29/2015,3:05 PM,4:05 PM
3/30/2015,12:05 PM,1:05 PM,Nationals,Roger Dean Stadium,3/30/2015,3/30/2015,3:05 PM,4:05 PM
3/31/2015,12:05 PM,1:05 PM,Marlins,Roger Dean Stadium,3/31/2015,3/31/2015,3:05 PM,4:05 PM
4/1/2015,12:10 PM,1:10 PM,Mets,Tradition Field,4/1/2015,4/1/2015,3:10 PM,4:10 PM
4/2/2015,11:05 AM,12:05 PM,Mets,Roger Dean Stadium,4/2/2015,4/2/2015,2:05 PM,3:05 PM
4/3/2015,6:05 PM,7:05 PM,Redbirds,AutoZone Park,4/3/2015,4/3/2015,9:05 PM,10:05 PM
4/5/2015,7:05 PM,8:05 PM,Cubs,Wrigley Field,4/5/2015,4/5/2015,10:05 PM,11:05 PM
4/7/2015,7:05 PM,8:05 PM,Cubs,Wrigley Field,4/7/2015,4/7/2015,10:05 PM,11:05 PM
4/8/2015,1:20 PM,2:20 PM,Cubs,Wrigley Field,4/8/2015,4/8/2015,4:20 PM,5:20 PM
4/10/2015,6:10 PM,7:10 PM,Reds,Great American Ball Park,4/10/2015,4/10/2015,9:10 PM,10:10 PM
4/11/2015,3:33 AM,3:33 AM,Reds,Great American Ball Park,4/11/2015,4/11/2015,6:33 AM,6:33 AM
4/12/2015,12:10 PM,1:10 PM,Reds,Great American Ball Park,4/12/2015,4/12/2015,3:10 PM,4:10 PM
4/13/2015,3:15 PM,4:15 PM,Brewers,Busch Stadium,4/13/2015,4/13/2015,6:15 PM,7:15 PM
4/15/2015,7:15 PM,8:15 PM,Brewers,Busch Stadium,4/15/2015,4/15/2015,10:15 PM,11:15 PM
4/16/2015,12:45 PM,1:45 PM,Brewers,Busch Stadium,4/16/2015,4/16/2015,3:45 PM,4:45 PM
4/17/2015,7:15 PM,8:15 PM,Reds,Busch Stadium,4/17/2015,4/17/2015,10:15 PM,11:15 PM
4/18/2015,1:15 PM,2:15 PM,Reds,Busch Stadium,4/18/2015,4/18/2015,4:15 PM,5:15 PM
4/19/2015,7:05 PM,8:05 PM,Reds,Busch Stadium,4/19/2015,4/19/2015,10:05 PM,11:05 PM
4/21/2015,6:05 PM,7:05 PM,Nationals,Nationals Park,4/21/2015,4/21/2015,9:05 PM,10:05 PM
4/22/2015,6:05 PM,7:05 PM,Nationals,Nationals Park,4/22/2015,4/22/2015,9:05 PM,10:05 PM
4/23/2015,3:05 PM,4:05 PM,Nationals,Nationals Park,4/23/2015,4/23/2015,6:05 PM,7:05 PM
4/24/2015,7:10 PM,8:10 PM,Brewers,Miller Park,4/24/2015,4/24/2015,10:10 PM,11:10 PM
4/25/2015,6:10 PM,7:10 PM,Brewers,Miller Park,4/25/2015,4/25/2015,9:10 PM,10:10 PM
4/26/2015,1:10 PM,2:10 PM,Brewers,Miller Park,4/26/2015,4/26/2015,4:10 PM,5:10 PM
4/27/2015,7:15 PM,8:15 PM,Phillies,Busch Stadium,4/27/2015,4/27/2015,10:15 PM,11:15 PM
4/28/2015,7:15 PM,8:15 PM,Phillies,Busch Stadium,4/28/2015,4/28/2015,10:15 PM,11:15 PM
4/29/2015,7:15 PM,8:15 PM,Phillies,Busch Stadium,4/29/2015,4/29/2015,10:15 PM,11:15 PM
4/30/2015,12:45 PM,1:45 PM,Phillies,Busch Stadium,4/30/2015,4/30/2015,3:45 PM,4:45 PM
5/1/2015,7:15 PM,8:15 PM,Pirates,Busch Stadium,5/1/2015,5/1/2015,10:15 PM,11:15 PM
5/2/2015,1:15 PM,2:15 PM,Pirates,Busch Stadium,5/2/2015,5/2/2015,4:15 PM,5:15 PM
5/3/2015,1:15 PM,2:15 PM,Pirates,Busch Stadium,5/3/2015,5/3/2015,4:15 PM,5:15 PM
5/4/2015,7:10 PM,8:10 PM,Cubs,Busch Stadium,5/4/2015,5/4/2015,10:10 PM,11:10 PM
5/5/2015,7:15 PM,8:15 PM,Cubs,Busch Stadium,5/5/2015,5/5/2015,10:15 PM,11:15 PM
5/6/2015,7:15 PM,8:15 PM,Cubs,Busch Stadium,5/6/2015,5/6/2015,10:15 PM,11:15 PM
5/7/2015,12:45 PM,1:45 PM,Cubs,Busch Stadium,5/7/2015,5/7/2015,3:45 PM,4:45 PM
5/8/2015,6:05 PM,7:05 PM,Pirates,PNC Park,5/8/2015,5/8/2015,9:05 PM,10:05 PM
5/9/2015,6:05 PM,7:05 PM,Pirates,PNC Park,5/9/2015,5/9/2015,9:05 PM,10:05 PM
5/10/2015,12:35 PM,1:35 PM,Pirates,PNC Park,5/10/2015,5/10/2015,3:35 PM,4:35 PM
5/12/2015,3:33 AM,3:33 AM,Indians,Progressive Field,5/12/2015,5/12/2015,6:33 AM,6:33 AM
5/13/2015,3:33 AM,3:33 AM,Indians,Progressive Field,5/13/2015,5/13/2015,6:33 AM,6:33 AM
5/14/2015,3:33 AM,3:33 AM,Indians,Progressive Field,5/14/2015,5/14/2015,6:33 AM,6:33 AM
5/15/2015,7:15 PM,8:15 PM,Tigers,Busch Stadium,5/15/2015,5/15/2015,10:15 PM,11:15 PM
5/16/2015,1:15 PM,2:15 PM,Tigers,Busch Stadium,5/16/2015,5/16/2015,4:15 PM,5:15 PM
5/17/2015,1:15 PM,2:15 PM,Tigers,Busch Stadium,5/17/2015,5/17/2015,4:15 PM,5:15 PM
5/18/2015,6:10 PM,7:10 PM,Mets,Citi Field,5/18/2015,5/18/2015,9:10 PM,10:10 PM
5/19/2015,6:10 PM,7:10 PM,Mets,Citi Field,5/19/2015,5/19/2015,9:10 PM,10:10 PM
5/20/2015,6:10 PM,7:10 PM,Mets,Citi Field,5/20/2015,5/20/2015,9:10 PM,10:10 PM
5/21/2015,12:10 PM,1:10 PM,Mets,Citi Field,5/21/2015,5/21/2015,3:10 PM,4:10 PM
5/22/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,5/22/2015,5/22/2015,6:33 AM,6:33 AM
5/23/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,5/23/2015,5/23/2015,6:33 AM,6:33 AM
5/24/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,5/24/2015,5/24/2015,6:33 AM,6:33 AM
5/25/2015,3:15 PM,4:15 PM,D-backs,Busch Stadium,5/25/2015,5/25/2015,6:15 PM,7:15 PM
5/26/2015,7:15 PM,8:15 PM,D-backs,Busch Stadium,5/26/2015,5/26/2015,10:15 PM,11:15 PM
5/27/2015,7:15 PM,8:15 PM,D-backs,Busch Stadium,5/27/2015,5/27/2015,10:15 PM,11:15 PM
5/29/2015,7:15 PM,8:15 PM,Dodgers,Busch Stadium,5/29/2015,5/29/2015,10:15 PM,11:15 PM
5/30/2015,6:15 PM,7:15 PM,Dodgers,Busch Stadium,5/30/2015,5/30/2015,9:15 PM,10:15 PM
5/31/2015,1:15 PM,2:15 PM,Dodgers,Busch Stadium,5/31/2015,5/31/2015,4:15 PM,5:15 PM
6/1/2015,7:10 PM,8:10 PM,Brewers,Busch Stadium,6/1/2015,6/1/2015,10:10 PM,11:10 PM
6/2/2015,7:15 PM,8:15 PM,Brewers,Busch Stadium,6/2/2015,6/2/2015,10:15 PM,11:15 PM
6/3/2015,12:45 PM,1:45 PM,Brewers,Busch Stadium,6/3/2015,6/3/2015,3:45 PM,4:45 PM
6/4/2015,9:10 PM,10:10 PM,Dodgers,Dodger Stadium,6/5/2015,6/5/2015,12:10 AM,1:10 AM
6/5/2015,9:10 PM,10:10 PM,Dodgers,Dodger Stadium,6/6/2015,6/6/2015,12:10 AM,1:10 AM
6/6/2015,9:10 PM,10:10 PM,Dodgers,Dodger Stadium,6/7/2015,6/7/2015,12:10 AM,1:10 AM
6/7/2015,3:33 AM,3:33 AM,Dodgers,Dodger Stadium,6/7/2015,6/7/2015,6:33 AM,6:33 AM
6/8/2015,7:40 PM,8:40 PM,Rockies,Coors Field,6/8/2015,6/8/2015,10:40 PM,11:40 PM
6/9/2015,7:40 PM,8:40 PM,Rockies,Coors Field,6/9/2015,6/9/2015,10:40 PM,11:40 PM
6/10/2015,2:10 PM,3:10 PM,Rockies,Coors Field,6/10/2015,6/10/2015,5:10 PM,6:10 PM
6/12/2015,7:15 PM,8:15 PM,Royals,Busch Stadium,6/12/2015,6/12/2015,10:15 PM,11:15 PM
6/13/2015,3:10 PM,4:10 PM,Royals,Busch Stadium,6/13/2015,6/13/2015,6:10 PM,7:10 PM
6/14/2015,1:15 PM,2:15 PM,Royals,Busch Stadium,6/14/2015,6/14/2015,4:15 PM,5:15 PM
6/15/2015,7:15 PM,8:15 PM,Twins,Busch Stadium,6/15/2015,6/15/2015,10:15 PM,11:15 PM
6/16/2015,12:45 PM,1:45 PM,Twins,Busch Stadium,6/16/2015,6/16/2015,3:45 PM,4:45 PM
6/17/2015,7:10 PM,8:10 PM,Twins,Target Field,6/17/2015,6/17/2015,10:10 PM,11:10 PM
6/18/2015,12:10 PM,1:10 PM,Twins,Target Field,6/18/2015,6/18/2015,3:10 PM,4:10 PM
6/19/2015,6:05 PM,7:05 PM,Phillies,Citizens Bank Park,6/19/2015,6/19/2015,9:05 PM,10:05 PM
6/20/2015,2:05 PM,3:05 PM,Phillies,Citizens Bank Park,6/20/2015,6/20/2015,5:05 PM,6:05 PM
6/21/2015,12:35 PM,1:35 PM,Phillies,Citizens Bank Park,6/21/2015,6/21/2015,3:35 PM,4:35 PM
6/23/2015,6:10 PM,7:10 PM,Marlins,Marlins Park,6/23/2015,6/23/2015,9:10 PM,10:10 PM
6/24/2015,6:10 PM,7:10 PM,Marlins,Marlins Park,6/24/2015,6/24/2015,9:10 PM,10:10 PM
6/25/2015,6:10 PM,7:10 PM,Marlins,Marlins Park,6/25/2015,6/25/2015,9:10 PM,10:10 PM
6/26/2015,7:15 PM,8:15 PM,Cubs,Busch Stadium,6/26/2015,6/26/2015,10:15 PM,11:15 PM
6/27/2015,6:15 PM,7:15 PM,Cubs,Busch Stadium,6/27/2015,6/27/2015,9:15 PM,10:15 PM
