START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
3/4/2015,12:05 PM,3:05 PM,White Sox,Camelback Ranch,3/4/2015,3/4/2015,3:05 PM,6:05 PM
3/5/2015,12:05 PM,3:05 PM,White Sox,Camelback Ranch,3/5/2015,3/5/2015,3:05 PM,6:05 PM
3/6/2015,12:05 PM,3:05 PM,Brewers,Maryvale Baseball Park,3/6/2015,3/6/2015,3:05 PM,6:05 PM
3/6/2015,12:05 PM,3:05 PM,Mariners,Camelback Ranch,3/6/2015,3/6/2015,3:05 PM,6:05 PM
3/7/2015,12:05 PM,3:05 PM,Indians,Goodyear Ballpark,3/7/2015,3/7/2015,3:05 PM,6:05 PM
3/8/2015,1:05 PM,4:05 PM,Brewers,Camelback Ranch,3/8/2015,3/8/2015,4:05 PM,7:05 PM
3/9/2015,1:05 PM,4:05 PM,Giants,Scottsdale Stadium,3/9/2015,3/9/2015,4:05 PM,7:05 PM
3/10/2015,1:05 PM,4:05 PM,Rockies,Camelback Ranch,3/10/2015,3/10/2015,4:05 PM,7:05 PM
3/11/2015,1:05 PM,4:05 PM,Cubs,Sloan Park,3/11/2015,3/11/2015,4:05 PM,7:05 PM
3/12/2015,1:05 PM,4:05 PM,Padres,Peoria Stadium,3/12/2015,3/12/2015,4:05 PM,7:05 PM
3/13/2015,7:05 PM,10:05 PM,Reds,Camelback Ranch,3/13/2015,3/14/2015,10:05 PM,1:05 AM
3/14/2015,1:05 PM,4:05 PM,Indians,Camelback Ranch,3/14/2015,3/14/2015,4:05 PM,7:05 PM
3/15/2015,1:05 PM,4:05 PM,Mariners,Peoria Stadium,3/15/2015,3/15/2015,4:05 PM,7:05 PM
3/16/2015,1:05 PM,4:05 PM,Athletics,Camelback Ranch,3/16/2015,3/16/2015,4:05 PM,7:05 PM
3/17/2015,1:05 PM,4:05 PM,Rangers,Surprise Stadium,3/17/2015,3/17/2015,4:05 PM,7:05 PM
3/18/2015,1:05 PM,4:05 PM,Cubs,Camelback Ranch,3/18/2015,3/18/2015,4:05 PM,7:05 PM
3/19/2015,1:05 PM,4:05 PM,Angels,Camelback Ranch,3/19/2015,3/19/2015,4:05 PM,7:05 PM
3/20/2015,5:05 PM,8:05 PM,Rangers,Alamodome,3/20/2015,3/20/2015,8:05 PM,11:05 PM
3/20/2015,1:05 PM,4:05 PM,Athletics,HoHoKam Stadium,3/20/2015,3/20/2015,4:05 PM,7:05 PM
3/21/2015,11:05 AM,2:05 PM,Rangers,Alamodome,3/21/2015,3/21/2015,2:05 PM,5:05 PM
3/21/2015,1:10 PM,4:10 PM,Rockies,Salt River Fields at Talking Stick,3/21/2015,3/21/2015,4:10 PM,7:10 PM
3/22/2015,1:05 PM,4:05 PM,Indians,Camelback Ranch,3/22/2015,3/22/2015,4:05 PM,7:05 PM
3/23/2015,1:05 PM,4:05 PM,D-backs,Camelback Ranch,3/23/2015,3/23/2015,4:05 PM,7:05 PM
3/25/2015,1:05 PM,4:05 PM,Padres,Camelback Ranch,3/25/2015,3/25/2015,4:05 PM,7:05 PM
3/26/2015,1:05 PM,4:05 PM,White Sox,Camelback Ranch,3/26/2015,3/26/2015,4:05 PM,7:05 PM
3/27/2015,7:05 PM,10:05 PM,Giants,Camelback Ranch,3/27/2015,3/28/2015,10:05 PM,1:05 AM
3/28/2015,1:10 PM,4:10 PM,Angels,Tempe Diablo Stadium,3/28/2015,3/28/2015,4:10 PM,7:10 PM
3/29/2015,1:05 PM,4:05 PM,Giants,Scottsdale Stadium,3/29/2015,3/29/2015,4:05 PM,7:05 PM
3/29/2015,1:05 PM,4:05 PM,Rangers,Camelback Ranch,3/29/2015,3/29/2015,4:05 PM,7:05 PM
3/30/2015,1:10 PM,4:10 PM,D-backs,Salt River Fields at Talking Stick,3/30/2015,3/30/2015,4:10 PM,7:10 PM
3/31/2015,1:05 PM,4:05 PM,White Sox,Camelback Ranch,3/31/2015,3/31/2015,4:05 PM,7:05 PM
4/1/2015,12:05 PM,3:05 PM,Royals,Surprise Stadium,4/1/2015,4/1/2015,3:05 PM,6:05 PM
4/2/2015,7:05 PM,10:05 PM,Angels,Angel Stadium of Anaheim,4/2/2015,4/3/2015,10:05 PM,1:05 AM
4/3/2015,7:05 PM,10:05 PM,Angels,Angel Stadium of Anaheim,4/3/2015,4/4/2015,10:05 PM,1:05 AM
4/4/2015,6:10 PM,9:10 PM,Angels,Dodger Stadium,4/4/2015,4/5/2015,9:10 PM,12:10 AM
4/6/2015,1:10 PM,4:10 PM,Padres,Dodger Stadium,4/6/2015,4/6/2015,4:10 PM,7:10 PM
4/7/2015,7:10 PM,10:10 PM,Padres,Dodger Stadium,4/7/2015,4/8/2015,10:10 PM,1:10 AM
4/8/2015,7:10 PM,10:10 PM,Padres,Dodger Stadium,4/8/2015,4/9/2015,10:10 PM,1:10 AM
4/10/2015,6:40 PM,9:40 PM,D-backs,Chase Field,4/10/2015,4/11/2015,9:40 PM,12:40 AM
4/11/2015,5:10 PM,8:10 PM,D-backs,Chase Field,4/11/2015,4/11/2015,8:10 PM,11:10 PM
4/12/2015,1:10 PM,4:10 PM,D-backs,Chase Field,4/12/2015,4/12/2015,4:10 PM,7:10 PM
4/13/2015,7:10 PM,10:10 PM,Mariners,Dodger Stadium,4/13/2015,4/14/2015,10:10 PM,1:10 AM
4/14/2015,7:10 PM,10:10 PM,Mariners,Dodger Stadium,4/14/2015,4/15/2015,10:10 PM,1:10 AM
4/15/2015,7:10 PM,10:10 PM,Mariners,Dodger Stadium,4/15/2015,4/16/2015,10:10 PM,1:10 AM
4/17/2015,7:10 PM,10:10 PM,Rockies,Dodger Stadium,4/17/2015,4/18/2015,10:10 PM,1:10 AM
4/18/2015,6:10 PM,9:10 PM,Rockies,Dodger Stadium,4/18/2015,4/19/2015,9:10 PM,12:10 AM
4/19/2015,1:10 PM,4:10 PM,Rockies,Dodger Stadium,4/19/2015,4/19/2015,4:10 PM,7:10 PM
4/21/2015,7:15 PM,10:15 PM,Giants,AT&T Park,4/21/2015,4/22/2015,10:15 PM,1:15 AM
4/22/2015,7:15 PM,10:15 PM,Giants,AT&T Park,4/22/2015,4/23/2015,10:15 PM,1:15 AM
4/23/2015,12:45 PM,3:45 PM,Giants,AT&T Park,4/23/2015,4/23/2015,3:45 PM,6:45 PM
4/24/2015,3:33 AM,3:33 AM,Padres,Petco Park,4/24/2015,4/24/2015,6:33 AM,6:33 AM
4/25/2015,3:33 AM,3:33 AM,Padres,Petco Park,4/25/2015,4/25/2015,6:33 AM,6:33 AM
4/26/2015,3:33 AM,3:33 AM,Padres,Petco Park,4/26/2015,4/26/2015,6:33 AM,6:33 AM
4/27/2015,7:10 PM,10:10 PM,Giants,Dodger Stadium,4/27/2015,4/28/2015,10:10 PM,1:10 AM
4/28/2015,7:10 PM,10:10 PM,Giants,Dodger Stadium,4/28/2015,4/29/2015,10:10 PM,1:10 AM
4/29/2015,7:10 PM,10:10 PM,Giants,Dodger Stadium,4/29/2015,4/30/2015,10:10 PM,1:10 AM
5/1/2015,7:10 PM,10:10 PM,D-backs,Dodger Stadium,5/1/2015,5/2/2015,10:10 PM,1:10 AM
