START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
3/3/2015,3:05 PM,3:05 PM,Reds,Goodyear Ballpark,3/3/2015,3/3/2015,6:05 PM,6:05 PM
3/4/2015,3:05 PM,3:05 PM,Reds,Goodyear Ballpark,3/4/2015,3/4/2015,6:05 PM,6:05 PM
3/5/2015,3:05 PM,3:05 PM,Reds,Goodyear Ballpark,3/5/2015,3/5/2015,6:05 PM,6:05 PM
3/6/2015,3:05 PM,3:05 PM,Royals,Goodyear Ballpark,3/6/2015,3/6/2015,6:05 PM,6:05 PM
3/7/2015,3:05 PM,3:05 PM,Dodgers,Goodyear Ballpark,3/7/2015,3/7/2015,6:05 PM,6:05 PM
3/8/2015,4:05 PM,4:05 PM,Rangers,Surprise Stadium,3/8/2015,3/8/2015,7:05 PM,7:05 PM
3/9/2015,4:05 PM,4:05 PM,Mariners,Peoria Stadium,3/9/2015,3/9/2015,7:05 PM,7:05 PM
3/10/2015,4:05 PM,4:05 PM,Cubs,Goodyear Ballpark,3/10/2015,3/10/2015,7:05 PM,7:05 PM
3/11/2015,4:05 PM,4:05 PM,Athletics,HoHoKam Stadium,3/11/2015,3/11/2015,7:05 PM,7:05 PM
3/12/2015,4:05 PM,4:05 PM,Royals,Goodyear Ballpark,3/12/2015,3/12/2015,7:05 PM,7:05 PM
3/13/2015,4:05 PM,4:05 PM,D-backs,Goodyear Ballpark,3/13/2015,3/13/2015,7:05 PM,7:05 PM
3/13/2015,4:05 PM,4:05 PM,Cubs,Sloan Park,3/13/2015,3/13/2015,7:05 PM,7:05 PM
3/14/2015,4:05 PM,4:05 PM,Dodgers,Camelback Ranch,3/14/2015,3/14/2015,7:05 PM,7:05 PM
3/15/2015,4:05 PM,4:05 PM,Padres,Goodyear Ballpark,3/15/2015,3/15/2015,7:05 PM,7:05 PM
3/16/2015,4:05 PM,4:05 PM,Royals,Surprise Stadium,3/16/2015,3/16/2015,7:05 PM,7:05 PM
3/17/2015,4:05 PM,4:05 PM,Reds,Goodyear Ballpark,3/17/2015,3/17/2015,7:05 PM,7:05 PM
3/19/2015,10:05 PM,10:05 PM,Mariners,Peoria Stadium,3/20/2015,3/20/2015,1:05 AM,1:05 AM
3/20/2015,10:05 PM,10:05 PM,Angels,Goodyear Ballpark,3/21/2015,3/21/2015,1:05 AM,1:05 AM
3/21/2015,4:05 PM,4:05 PM,Rockies,Goodyear Ballpark,3/21/2015,3/21/2015,7:05 PM,7:05 PM
3/22/2015,4:05 PM,4:05 PM,Dodgers,Camelback Ranch,3/22/2015,3/22/2015,7:05 PM,7:05 PM
3/23/2015,4:05 PM,4:05 PM,Athletics,Goodyear Ballpark,3/23/2015,3/23/2015,7:05 PM,7:05 PM
3/24/2015,10:05 PM,10:05 PM,Giants,Goodyear Ballpark,3/25/2015,3/25/2015,1:05 AM,1:05 AM
3/25/2015,4:10 PM,4:10 PM,Angels,Tempe Diablo Stadium,3/25/2015,3/25/2015,7:10 PM,7:10 PM
3/26/2015,4:05 PM,4:05 PM,Reds,Goodyear Ballpark,3/26/2015,3/26/2015,7:05 PM,7:05 PM
3/27/2015,4:10 PM,4:10 PM,D-backs,Salt River Fields at Talking Stick,3/27/2015,3/27/2015,7:10 PM,7:10 PM
3/28/2015,4:05 PM,4:05 PM,Brewers,Maryvale Baseball Park,3/28/2015,3/28/2015,7:05 PM,7:05 PM
3/29/2015,4:05 PM,4:05 PM,White Sox,Goodyear Ballpark,3/29/2015,3/29/2015,7:05 PM,7:05 PM
3/30/2015,4:05 PM,4:05 PM,White Sox,Camelback Ranch,3/30/2015,3/30/2015,7:05 PM,7:05 PM
3/31/2015,4:05 PM,4:05 PM,Mariners,Goodyear Ballpark,3/31/2015,3/31/2015,7:05 PM,7:05 PM
4/1/2015,4:05 PM,4:05 PM,Giants,Scottsdale Stadium,4/1/2015,4/1/2015,7:05 PM,7:05 PM
4/2/2015,3:05 PM,3:05 PM,Reds,Goodyear Ballpark,4/2/2015,4/2/2015,6:05 PM,6:05 PM
4/3/2015,4:05 PM,4:05 PM,Brewers,Goodyear Ballpark,4/3/2015,4/3/2015,7:05 PM,7:05 PM
4/4/2015,3:05 PM,3:05 PM,Brewers,Maryvale Baseball Park,4/4/2015,4/4/2015,6:05 PM,6:05 PM
4/6/2015,3:33 AM,3:33 AM,Astros,Minute Maid Park,4/6/2015,4/6/2015,6:33 AM,6:33 AM
4/8/2015,3:33 AM,3:33 AM,Astros,Minute Maid Park,4/8/2015,4/8/2015,6:33 AM,6:33 AM
4/9/2015,3:33 AM,3:33 AM,Astros,Minute Maid Park,4/9/2015,4/9/2015,6:33 AM,6:33 AM
4/10/2015,3:33 AM,3:33 AM,Tigers,Progressive Field,4/10/2015,4/10/2015,6:33 AM,6:33 AM
4/11/2015,3:33 AM,3:33 AM,Tigers,Progressive Field,4/11/2015,4/11/2015,6:33 AM,6:33 AM
4/12/2015,3:33 AM,3:33 AM,Tigers,Progressive Field,4/12/2015,4/12/2015,6:33 AM,6:33 AM
4/14/2015,3:33 AM,3:33 AM,White Sox,Progressive Field,4/14/2015,4/14/2015,6:33 AM,6:33 AM
4/15/2015,3:33 AM,3:33 AM,White Sox,Progressive Field,4/15/2015,4/15/2015,6:33 AM,6:33 AM
4/17/2015,8:10 PM,8:10 PM,Twins,Target Field,4/17/2015,4/17/2015,11:10 PM,11:10 PM
4/18/2015,3:33 AM,3:33 AM,Twins,Target Field,4/18/2015,4/18/2015,6:33 AM,6:33 AM
4/19/2015,2:10 PM,2:10 PM,Twins,Target Field,4/19/2015,4/19/2015,5:10 PM,5:10 PM
4/20/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,4/20/2015,4/20/2015,6:33 AM,6:33 AM
4/21/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,4/21/2015,4/21/2015,6:33 AM,6:33 AM
4/22/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,4/22/2015,4/22/2015,6:33 AM,6:33 AM
4/24/2015,7:08 PM,7:08 PM,Tigers,Comerica Park,4/24/2015,4/24/2015,10:08 PM,10:08 PM
4/25/2015,1:08 PM,1:08 PM,Tigers,Comerica Park,4/25/2015,4/25/2015,4:08 PM,4:08 PM
4/26/2015,1:08 PM,1:08 PM,Tigers,Comerica Park,4/26/2015,4/26/2015,4:08 PM,4:08 PM
4/27/2015,3:33 AM,3:33 AM,Royals,Progressive Field,4/27/2015,4/27/2015,6:33 AM,6:33 AM
4/28/2015,3:33 AM,3:33 AM,Royals,Progressive Field,4/28/2015,4/28/2015,6:33 AM,6:33 AM
4/29/2015,3:33 AM,3:33 AM,Royals,Progressive Field,4/29/2015,4/29/2015,6:33 AM,6:33 AM
4/30/2015,3:33 AM,3:33 AM,Blue Jays,Progressive Field,4/30/2015,4/30/2015,6:33 AM,6:33 AM
5/1/2015,3:33 AM,3:33 AM,Blue Jays,Progressive Field,5/1/2015,5/1/2015,6:33 AM,6:33 AM
5/2/2015,3:33 AM,3:33 AM,Blue Jays,Progressive Field,5/2/2015,5/2/2015,6:33 AM,6:33 AM
5/3/2015,3:33 AM,3:33 AM,Blue Jays,Progressive Field,5/3/2015,5/3/2015,6:33 AM,6:33 AM
5/5/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,5/5/2015,5/5/2015,6:33 AM,6:33 AM
5/6/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,5/6/2015,5/6/2015,6:33 AM,6:33 AM
5/7/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,5/7/2015,5/7/2015,6:33 AM,6:33 AM
5/8/2015,3:33 AM,3:33 AM,Twins,Progressive Field,5/8/2015,5/8/2015,6:33 AM,6:33 AM
5/9/2015,3:33 AM,3:33 AM,Twins,Progressive Field,5/9/2015,5/9/2015,6:33 AM,6:33 AM
5/10/2015,3:33 AM,3:33 AM,Twins,Progressive Field,5/10/2015,5/10/2015,6:33 AM,6:33 AM
5/12/2015,3:33 AM,3:33 AM,Cardinals,Progressive Field,5/12/2015,5/12/2015,6:33 AM,6:33 AM
5/13/2015,3:33 AM,3:33 AM,Cardinals,Progressive Field,5/13/2015,5/13/2015,6:33 AM,6:33 AM
5/14/2015,3:33 AM,3:33 AM,Cardinals,Progressive Field,5/14/2015,5/14/2015,6:33 AM,6:33 AM
5/15/2015,8:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,5/15/2015,5/15/2015,11:05 PM,11:05 PM
5/16/2015,8:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,5/16/2015,5/16/2015,11:05 PM,11:05 PM
5/17/2015,3:05 PM,3:05 PM,Rangers,Globe Life Park in Arlington,5/17/2015,5/17/2015,6:05 PM,6:05 PM
