START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
3/3/2015,1:07 PM,1:07 PM,Blue Jays,Florida Auto Exchange Stadium,Local Radio: KDKA-FM 93.7,3/3/2015,3/3/2015,4:07 PM,4:07 PM
3/4/2015,1:05 PM,1:05 PM,Blue Jays,McKechnie Field,Local Radio: MLB.com,3/4/2015,3/4/2015,4:05 PM,4:05 PM
3/5/2015,1:05 PM,1:05 PM,Yankees,McKechnie Field,Local Radio: KDKA-FM 93.7,3/5/2015,3/5/2015,4:05 PM,4:05 PM
3/6/2015,7:05 PM,7:05 PM,Yankees,George M. Steinbrenner Field,Local Radio: KDKA-FM 93.7,3/6/2015,3/6/2015,10:05 PM,10:05 PM
3/7/2015,1:05 PM,1:05 PM,Rays,McKechnie Field,Local Radio: KDKA-FM 93.7,3/7/2015,3/7/2015,4:05 PM,4:05 PM
3/8/2015,1:07 PM,1:07 PM,Blue Jays,Florida Auto Exchange Stadium,Local Radio: KDKA-FM 93.7,3/8/2015,3/8/2015,4:07 PM,4:07 PM
3/9/2015,1:05 PM,1:05 PM,Twins,McKechnie Field,Local Radio: KDKA-FM 93.7,3/9/2015,3/9/2015,4:05 PM,4:05 PM
3/10/2015,1:05 PM,1:05 PM,Rays,Charlotte Sports Park,Local Radio: MLB.com,3/10/2015,3/10/2015,4:05 PM,4:05 PM
3/11/2015,1:05 PM,1:05 PM,Phillies,Bright House Field,,3/11/2015,3/11/2015,4:05 PM,4:05 PM
3/12/2015,1:05 PM,1:05 PM,Red Sox,McKechnie Field,,3/12/2015,3/12/2015,4:05 PM,4:05 PM
3/13/2015,1:05 PM,1:05 PM,Twins,McKechnie Field,,3/13/2015,3/13/2015,4:05 PM,4:05 PM
3/14/2015,1:05 PM,1:05 PM,Red Sox,JetBlue Park,Local Radio: KDKA-FM 93.7,3/14/2015,3/14/2015,4:05 PM,4:05 PM
3/15/2015,1:05 PM,1:05 PM,Orioles,McKechnie Field,Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7,3/15/2015,3/15/2015,4:05 PM,4:05 PM
3/17/2015,1:05 PM,1:05 PM,Astros,McKechnie Field,Local TV: ROOT SPORTS,3/17/2015,3/17/2015,4:05 PM,4:05 PM
3/18/2015,6:05 PM,6:05 PM,Tigers,McKechnie Field,Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7,3/18/2015,3/18/2015,9:05 PM,9:05 PM
3/19/2015,1:05 PM,1:05 PM,Orioles,Ed Smith Stadium,Local Radio: MLB.com,3/19/2015,3/19/2015,4:05 PM,4:05 PM
3/20/2015,1:05 PM,1:05 PM,Twins,CenturyLink Sports Complex,Local Radio: KDKA-FM 93.7 -- MLB.com,3/20/2015,3/20/2015,4:05 PM,4:05 PM
3/20/2015,1:05 PM,1:05 PM,Phillies,McKechnie Field,Local Radio: MLB.com,3/20/2015,3/20/2015,4:05 PM,4:05 PM
3/21/2015,1:05 PM,1:05 PM,Red Sox,McKechnie Field,Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7,3/21/2015,3/21/2015,4:05 PM,4:05 PM
3/22/2015,1:05 PM,1:05 PM,Astros,Osceola County Stadium,Local Radio: KDKA-FM 93.7,3/22/2015,3/22/2015,4:05 PM,4:05 PM
3/23/2015,1:05 PM,1:05 PM,Rays,Charlotte Sports Park,Local Radio: MLB.com,3/23/2015,3/23/2015,4:05 PM,4:05 PM
3/24/2015,1:05 PM,1:05 PM,Orioles,McKechnie Field,Local Radio: MLB.com,3/24/2015,3/24/2015,4:05 PM,4:05 PM
3/26/2015,1:05 PM,1:05 PM,Braves,McKechnie Field,Local Radio: MLB.com,3/26/2015,3/26/2015,4:05 PM,4:05 PM
