START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
3/3/2015,12:05 PM,3:05 PM,Athletics,HoHoKam Stadium,3/3/2015,3/3/2015,3:05 PM,6:05 PM
3/4/2015,12:05 PM,3:05 PM,Athletics,Scottsdale Stadium,3/4/2015,3/4/2015,3:05 PM,6:05 PM
3/5/2015,12:05 PM,3:05 PM,Cubs,Scottsdale Stadium,3/5/2015,3/5/2015,3:05 PM,6:05 PM
3/6/2015,12:05 PM,3:05 PM,Rangers,Surprise Stadium,3/6/2015,3/6/2015,3:05 PM,6:05 PM
3/7/2015,12:05 PM,3:05 PM,Padres,Scottsdale Stadium,3/7/2015,3/7/2015,3:05 PM,6:05 PM
3/8/2015,1:10 PM,4:10 PM,D-backs,Salt River Fields at Talking Stick,3/8/2015,3/8/2015,4:10 PM,7:10 PM
3/8/2015,1:05 PM,4:05 PM,D-backs,Scottsdale Stadium,3/8/2015,3/8/2015,4:05 PM,7:05 PM
3/9/2015,1:05 PM,4:05 PM,Dodgers,Scottsdale Stadium,3/9/2015,3/9/2015,4:05 PM,7:05 PM
3/10/2015,1:05 PM,4:05 PM,Padres,Peoria Stadium,3/10/2015,3/10/2015,4:05 PM,7:05 PM
3/11/2015,1:05 PM,4:05 PM,Brewers,Scottsdale Stadium,3/11/2015,3/11/2015,4:05 PM,7:05 PM
3/12/2015,1:05 PM,4:05 PM,White Sox,Camelback Ranch,3/12/2015,3/12/2015,4:05 PM,7:05 PM
3/13/2015,1:05 PM,4:05 PM,Rangers,Scottsdale Stadium,3/13/2015,3/13/2015,4:05 PM,7:05 PM
3/14/2015,7:10 PM,10:10 PM,D-backs,Salt River Fields at Talking Stick,3/14/2015,3/15/2015,10:10 PM,1:10 AM
3/14/2015,1:05 PM,4:05 PM,Athletics,HoHoKam Stadium,3/14/2015,3/14/2015,4:05 PM,7:05 PM
3/15/2015,3:05 PM,6:05 PM,D-backs,Scottsdale Stadium,3/15/2015,3/15/2015,6:05 PM,9:05 PM
3/16/2015,1:05 PM,4:05 PM,Reds,Goodyear Ballpark,3/16/2015,3/16/2015,4:05 PM,7:05 PM
3/17/2015,1:05 PM,4:05 PM,D-backs,Scottsdale Stadium,3/17/2015,3/17/2015,4:05 PM,7:05 PM
3/19/2015,1:05 PM,4:05 PM,Brewers,Maryvale Baseball Park,3/19/2015,3/19/2015,4:05 PM,7:05 PM
3/20/2015,6:05 PM,9:05 PM,Reds,Scottsdale Stadium,3/20/2015,3/21/2015,9:05 PM,12:05 AM
3/21/2015,1:10 PM,4:10 PM,Angels,Tempe Diablo Stadium,3/21/2015,3/21/2015,4:10 PM,7:10 PM
3/22/2015,1:05 PM,4:05 PM,Angels,Scottsdale Stadium,3/22/2015,3/22/2015,4:05 PM,7:05 PM
3/22/2015,1:05 PM,4:05 PM,Royals,Surprise Stadium,3/22/2015,3/22/2015,4:05 PM,7:05 PM
3/23/2015,1:05 PM,4:05 PM,Royals,Scottsdale Stadium,3/23/2015,3/23/2015,4:05 PM,7:05 PM
3/24/2015,7:05 PM,10:05 PM,Indians,Goodyear Ballpark,3/24/2015,3/25/2015,10:05 PM,1:05 AM
3/25/2015,1:10 PM,4:10 PM,Rockies,Salt River Fields at Talking Stick,3/25/2015,3/25/2015,4:10 PM,7:10 PM
3/26/2015,7:05 PM,10:05 PM,Athletics,Scottsdale Stadium,3/26/2015,3/27/2015,10:05 PM,1:05 AM
3/27/2015,7:05 PM,10:05 PM,Dodgers,Camelback Ranch,3/27/2015,3/28/2015,10:05 PM,1:05 AM
3/28/2015,1:05 PM,4:05 PM,Mariners,Peoria Stadium,3/28/2015,3/28/2015,4:05 PM,7:05 PM
