START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
10/07/2015,7:30 PM,10:30 PM,Los Angeles,STAPLES Center - Los Angeles - CA,NBCSN,10/07/2015,10/08/2015,10:30 PM,1:30 AM,FALSE,TRUE,10/07/2015,6:30 PM,9:30 PM,FREE,BUSY
10/10/2015,7:30 PM,10:30 PM,Anaheim,SAP Center - San Jose - CA,PRIME / FS-SD /  CSN-CA,10/10/2015,10/11/2015,10:30 PM,1:30 AM,FALSE,TRUE,10/10/2015,6:30 PM,9:30 PM,FREE,BUSY
10/13/2015,7:00 PM,7:00 PM,Washington,Verizon Center - Washington - DC,CSN-CA /  CSN-DC,10/13/2015,10/13/2015,10:00 PM,10:00 PM,FALSE,TRUE,10/13/2015,6:00 PM,6:00 PM,FREE,BUSY
10/16/2015,7:00 PM,7:00 PM,New Jersey,Prudential Center - Newark - NJ,CSN-CA /  MSG+,10/16/2015,10/16/2015,10:00 PM,10:00 PM,FALSE,TRUE,10/16/2015,6:00 PM,6:00 PM,FREE,BUSY
10/17/2015,7:30 PM,7:30 PM,Ny Islanders,Barclays Center - Brooklyn  - NY,CSN-CA /  MSG+,10/17/2015,10/17/2015,10:30 PM,10:30 PM,FALSE,TRUE,10/17/2015,6:30 PM,6:30 PM,FREE,BUSY
10/19/2015,7:00 PM,7:00 PM,Ny Rangers,Madison Square Garden - New York - NY,NHLN-US / TVAS /  CSN-CA /  MSG,10/19/2015,10/19/2015,10:00 PM,10:00 PM,FALSE,TRUE,10/19/2015,6:00 PM,6:00 PM,FREE,BUSY
10/22/2015,7:30 PM,10:30 PM,Los Angeles,SAP Center - San Jose - CA,FS-W /  CSN-CA,10/22/2015,10/23/2015,10:30 PM,1:30 AM,FALSE,TRUE,10/22/2015,6:30 PM,9:30 PM,FREE,BUSY
10/24/2015,7:30 PM,10:30 PM,Carolina,SAP Center - San Jose - CA,FS-CR /  CSN-CA,10/24/2015,10/25/2015,10:30 PM,1:30 AM,FALSE,TRUE,10/24/2015,6:30 PM,9:30 PM,FREE,BUSY
10/28/2015,7:30 PM,10:30 PM,Nashville,SAP Center - San Jose - CA,NBCSN,10/28/2015,10/29/2015,10:30 PM,1:30 AM,FALSE,TRUE,10/28/2015,6:30 PM,9:30 PM,FREE,BUSY
10/31/2015,2:00 PM,3:00 PM,Dallas,American Airlines Center - Dallas - TX,CSN-CA /  FS-SW,10/31/2015,10/31/2015,5:00 PM,6:00 PM,FALSE,TRUE,10/31/2015,1:00 PM,2:00 PM,FREE,BUSY
11/01/2015,1:00 PM,3:00 PM,Colorado,Pepsi Center - Denver - CO,CSN-CA /  ALT,11/01/2015,11/01/2015,4:00 PM,6:00 PM,FALSE,TRUE,11/01/2015,12:00 PM,2:00 PM,FREE,BUSY
11/03/2015,7:30 PM,10:30 PM,Columbus,SAP Center - San Jose - CA,FS-O /  CSN-CA,11/03/2015,11/04/2015,10:30 PM,1:30 AM,FALSE,TRUE,11/03/2015,6:30 PM,9:30 PM,FREE,BUSY
11/05/2015,7:30 PM,10:30 PM,Florida,SAP Center - San Jose - CA,FS-F /  CSN-CA,11/05/2015,11/06/2015,10:30 PM,1:30 AM,FALSE,TRUE,11/05/2015,6:30 PM,9:30 PM,FREE,BUSY
11/07/2015,7:30 PM,10:30 PM,Anaheim,SAP Center - San Jose - CA,FS-W /  CSN-CA,11/07/2015,11/08/2015,10:30 PM,1:30 AM,FALSE,TRUE,11/07/2015,6:30 PM,9:30 PM,FREE,BUSY
11/10/2015,7:30 PM,10:30 PM,Ny Islanders,SAP Center - San Jose - CA,MSG+ /  CSN-CA,11/10/2015,11/11/2015,10:30 PM,1:30 AM,FALSE,TRUE,11/10/2015,6:30 PM,9:30 PM,FREE,BUSY
11/13/2015,7:30 PM,7:30 PM,Detroit,Joe Louis Arena - Detroit - MI,CSN-CA /  FS-D,11/13/2015,11/13/2015,10:30 PM,10:30 PM,FALSE,TRUE,11/13/2015,6:30 PM,6:30 PM,FREE,BUSY
11/14/2015,7:00 PM,7:00 PM,Buffalo,First Niagara Center - Buffalo - NY,CSN-CA /  MSG-B / BELL TV,11/14/2015,11/14/2015,10:00 PM,10:00 PM,FALSE,TRUE,11/14/2015,6:00 PM,6:00 PM,FREE,BUSY
11/17/2015,7:00 PM,7:00 PM,Boston,TD Garden - Boston - MA,CSN-CA /  NESN,11/17/2015,11/17/2015,10:00 PM,10:00 PM,FALSE,TRUE,11/17/2015,6:00 PM,6:00 PM,FREE,BUSY
11/19/2015,7:00 PM,7:00 PM,Philadelphia,Wells Fargo Center - Philadelphia - PA,CSN-CA /  CSN-PH,11/19/2015,11/19/2015,10:00 PM,10:00 PM,FALSE,TRUE,11/19/2015,6:00 PM,6:00 PM,FREE,BUSY
11/21/2015,7:00 PM,7:00 PM,Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,CSN-CA /  ROOT,11/21/2015,11/21/2015,10:00 PM,10:00 PM,FALSE,TRUE,11/21/2015,6:00 PM,6:00 PM,FREE,BUSY
11/22/2015,5:00 PM,5:00 PM,Columbus,Nationwide Arena - Columbus - OH,CSN-CA /  FS-O,11/22/2015,11/22/2015,8:00 PM,8:00 PM,FALSE,TRUE,11/22/2015,4:00 PM,4:00 PM,FREE,BUSY
11/25/2015,7:00 PM,10:00 PM,Chicago,SAP Center - San Jose - CA,NBCSN /  CSN-CH,11/25/2015,11/26/2015,10:00 PM,1:00 AM,FALSE,TRUE,11/25/2015,6:00 PM,9:00 PM,FREE,BUSY
11/28/2015,7:00 PM,10:00 PM,Calgary,SAP Center - San Jose - CA,HNIC /  CSN-CA,11/28/2015,11/29/2015,10:00 PM,1:00 AM,FALSE,TRUE,11/28/2015,6:00 PM,9:00 PM,FREE,BUSY
12/01/2015,7:30 PM,10:30 PM,Pittsburgh,SAP Center - San Jose - CA,NBCSN /  ROOT,12/01/2015,12/02/2015,10:30 PM,1:30 AM,FALSE,TRUE,12/01/2015,6:30 PM,9:30 PM,FREE,BUSY
12/04/2015,7:00 PM,10:00 PM,Anaheim,Honda Center - Anaheim - CA,CSN-CA /  PRIME / FS-SD,12/04/2015,12/05/2015,10:00 PM,1:00 AM,FALSE,TRUE,12/04/2015,6:00 PM,9:00 PM,FREE,BUSY
12/05/2015,7:30 PM,10:30 PM,Tampa Bay,SAP Center - San Jose - CA,SUN /  CSN-CA,12/05/2015,12/06/2015,10:30 PM,1:30 AM,FALSE,TRUE,12/05/2015,6:30 PM,9:30 PM,FREE,BUSY
12/08/2015,7:00 PM,9:00 PM,Calgary,Scotiabank Saddledome - Calgary - AB,CSN-CA /  SNW,12/08/2015,12/09/2015,10:00 PM,12:00 AM,FALSE,TRUE,12/08/2015,6:00 PM,8:00 PM,FREE,BUSY
12/09/2015,7:30 PM,9:30 PM,Edmonton,Rexall Place - Edmonton - AB,CSN-CA /  SNOL,12/09/2015,12/10/2015,10:30 PM,12:30 AM,FALSE,TRUE,12/09/2015,6:30 PM,8:30 PM,FREE,BUSY
12/12/2015,7:30 PM,10:30 PM,Minnesota,SAP Center - San Jose - CA,FS-N /  CSN-CA,12/12/2015,12/13/2015,10:30 PM,1:30 AM,FALSE,TRUE,12/12/2015,6:30 PM,9:30 PM,FREE,BUSY
12/15/2015,7:30 PM,7:30 PM,Montreal,Centre Bell - Montreal - QC,CSN-CA /  RDS / SNE,12/15/2015,12/15/2015,10:30 PM,10:30 PM,FALSE,TRUE,12/15/2015,6:30 PM,6:30 PM,FREE,BUSY
12/17/2015,7:30 PM,7:30 PM,Toronto,Air Canada Centre - Toronto - ON,CSN-CA /  TSN4,12/17/2015,12/17/2015,10:30 PM,10:30 PM,FALSE,TRUE,12/17/2015,6:30 PM,6:30 PM,FREE,BUSY
12/18/2015,7:30 PM,7:30 PM,Ottawa,Canadian Tire Centre - Ottawa - ON,CSN-CA /  RDS / TSN5,12/18/2015,12/18/2015,10:30 PM,10:30 PM,FALSE,TRUE,12/18/2015,6:30 PM,6:30 PM,FREE,BUSY
12/20/2015,6:00 PM,7:00 PM,Chicago,United Center - Chicago - IL,CSN-CA /  CSN-CH,12/20/2015,12/20/2015,9:00 PM,10:00 PM,FALSE,TRUE,12/20/2015,5:00 PM,6:00 PM,FREE,BUSY
